Season,PayrollRank,Club,PayrollPerMillion,FinalStanding
2021,16,MN Twins,121,DNC
2021,17,CIN Reds,118.74,DNC
2021,18,COL Rockies,103.98,DNC
2021,19,AZ Diamondbacks,89.07,DNC
2021,20,KC Royals,87.77,DNC
2021,21,MIL Brewers,87.56,Lost DS
2021,22,TX Rangers,84.86,DNC
2021,23,DET Tigers,80.39,DNC
2021,24,OAK Athletics,74.61,DNC
2021,25,SEA Mariners,64.55,DNC
2021,26,TB Rays,60.38,Lost DS
2021,27,MIA Marlins,49.42,DNC
2021,28,CLE Guardians,46.83,DNC
2021,29,BAL Orioles,45.7,DNC
2021,30,PIT Pirates,35.9,DNC
2021,31,Leauge AVG,119.704,
2022,1,LA Dodgers,277.1,Lost DS
2022,2,NY Mets,253.119,Lost WC
2022,3,NY Yankees,240.29,Lost ALCS
2022,4,PHI Phillies,221.73,Lost WS
2022,5,SD Padres,208.77,Lost NLCS
2022,6,BOS Red Sox,195.16,DNC
2022,7,CHC White Sox,181.66,DNC
2022,8,ATL Braves,173.93,Lost DS
2022,9,LAA Angels,169.41,DNC
2022,10,TOR Blue Jays,168.07,Lost WC
2022,11,HOU Astros,163.93,Won WS
2022,12,STL Cardinals,150.74,Lost WC
2022,13,SF Giants,142.29,DNC
2022,14,TX Rangers,134.96,DNC
2022,15,CHC Cubs,130.56,DNC
2022,16,COL Rockies,129.45,DNC
2022,17,MIL Brewers,122.28,DNC
2022,18,DET Tigers,116.04,DNC
2022,19,WSH Nationals,114.62,DNC
2022,20,MN Twins,110.85,DNC
2022,21,CIN Reds,99.58,DNC
2022,22,SEA Mariners,92.74,Lost DS
2022,23,AZ Diamondbacks,75.99,DNC
2022,24,TB Rays,75.34,Lost WC
2022,25,KC Royals,74.11,DNC
2022,26,MIA Marlins,69,DNC
2022,27,CLE Guardians,42.31,Lost DS
2022,28,PIT Pirates,37.87,DNC
2022,29,OAK Athletics,32.54,DNC
2022,30,BAL Orioles,30.22,DNC
2022,31,Leauge AVG,134.4886333,
